ID, DateTimeUTC, TapType, StopId, CompanyId, BusID, PAN
1, 22-01-2018 13:00:00, ON, Stop1, Company1, Bus37, 5500005555555559
2, 22-01-2018 13:05:00, OFF, Stop2, Company1, Bus37, 5500005555555559
3, 22-01-2018 14:00:00, ON, Stop1, Company1, Bus37, 5454545454545454
4, 22-01-2018 13:05:00, ON, Stop2, Company1, Bus8, 34343434343434
5, 22-01-2018 13:05:10, ON, Stop2, Company1, Bus37, 5500005555555559
6, 22-01-2018 13:25:55, OFF, Stop3, Company1, Bus37, 5500005555555559
7, 22-01-2018 13:30:00, ON, Stop2, Company1, Bus11, 36700102000000
8, 22-01-2018 14:15:00, OFF, Stop3, Company1, Bus37, 5454545454545454
9, 22-01-2018 13:33:00, OFF, Stop1, Company1, Bus11, 36700102000000
10, 22-01-2018 14:15:00, ON, Stop1, Company1, Bus11, 5555555555554444
11, 22-01-2018 14:15:00, OFF, Stop1, Company1, Bus11, 5555555555554444
